Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B2",KXOB25_AAR,2,KXOB25-03X4F-TB,
TP1,PinSocket_2x01_P2.54mm_Vertical,1,TestPoint_2Pole,C492401
